order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
order_001_ng,1,prod_001_ng,seller_001_ng,2024-08-16 18:00:00,25000.00,1500.00
order_001_ng,2,prod_002_ng,seller_002_ng,2024-08-16 18:00:00,15000.00,1200.00
order_002_ng,1,prod_003_ng,seller_001_ng,2024-08-16 18:00:00,35000.00,2000.00
order_003_ng,1,prod_001_ng,seller_003_ng,2024-08-15 18:00:00,25000.00,2500.00
order_003_ng,2,prod_004_ng,seller_003_ng,2024-08-15 18:00:00,8500.00,800.00
order_004_ng,1,prod_005_ng,seller_004_ng,2024-08-14 18:00:00,45000.00,1800.00
order_005_ng,1,prod_006_ng,seller_005_ng,2024-08-18 18:00:00,12000.00,1000.00
order_005_ng,2,prod_007_ng,seller_005_ng,2024-08-18 18:00:00,18000.00,1300.00
order_006_ng,1,prod_008_ng,seller_006_ng,2024-08-13 18:00:00,22000.00,1600.00
order_007_ng,1,prod_009_ng,seller_007_ng,2024-08-12 18:00:00,65000.00,2200.00
order_008_ng,1,prod_010_ng,seller_008_ng,2024-08-19 18:00:00,32000.00,2800.00
order_009_ng,1,prod_011_ng,seller_009_ng,2024-08-11 18:00:00,14000.00,1100.00
order_009_ng,2,prod_012_ng,seller_009_ng,2024-08-11 18:00:00,9500.00,900.00
order_010_ng,1,prod_013_ng,seller_010_ng,2024-08-10 18:00:00,28000.00,2400.00
order_011_ng,1,prod_014_ng,seller_011_ng,2024-08-09 18:00:00,16500.00,1400.00
order_012_ng,1,prod_015_ng,seller_012_ng,2024-08-08 18:00:00,38000.00,2000.00
order_012_ng,2,prod_016_ng,seller_012_ng,2024-08-08 18:00:00,11000.00,1000.00
order_013_ng,1,prod_017_ng,seller_013_ng,2024-08-07 18:00:00,26000.00,1700.00
order_014_ng,1,prod_018_ng,seller_014_ng,2024-08-20 18:00:00,42000.00,3000.00
order_015_ng,1,prod_019_ng,seller_015_ng,2024-08-06 18:00:00,19500.00,1500.00
order_016_ng,1,prod_020_ng,seller_016_ng,2024-08-05 18:00:00,33000.00,1900.00
order_017_ng,1,prod_001_ng,seller_017_ng,2024-08-04 18:00:00,25000.00,2100.00
order_017_ng,2,prod_021_ng,seller_017_ng,2024-08-04 18:00:00,7800.00,750.00
order_019_ng,1,prod_022_ng,seller_019_ng,2024-08-03 18:00:00,29000.00,2300.00
order_020_ng,1,prod_023_ng,seller_020_ng,2024-08-02 18:00:00,21500.00,1800.00
