product_category_name,product_category_name_english
agro_industria_e_comercio,agro_industry_and_commerce
alimentos,food
alimentos_bebidas,food_drink
artes,art
artes_e_artesanato,arts_and_craftmanship
artigos_de_festas,party_supplies
artigos_de_natal,christmas_supplies
audio,audio
automotivo,auto
bebes,baby
bebidas,drinks
beleza_saude,health_beauty
brinquedos,toys
cama_mesa_banho,bed_bath_table
casa_conforto,home_confort
casa_conforto_2,home_comfort_2
casa_construcao,home_construction
cds_dvds_musicais,cds_dvds_musicals
cine_foto,cine_photo
climatizacao,air_conditioning
consoles_games,consoles_games
construcao_ferramentas_construcao,construction_tools_construction
construcao_ferramentas_ferramentas,costruction_tools_tools
construcao_ferramentas_iluminacao,construction_tools_lights
construcao_ferramentas_jardim,costruction_tools_garden
construcao_ferramentas_seguranca,construction_tools_safety
cool_stuff,cool_stuff
dvds_blu_ray,dvds_blu_ray
eletrodomesticos,home_appliances
eletrodomesticos_2,home_appliances_2
eletroportateis,small_appliances
esporte_lazer,sports_leisure
ferramentas_jardim,garden_tools
flores,flowers
fraldas_higiene,diapers_and_hygiene
industria_comercio_e_negocios,industry_commerce_and_business
informatica_acessorios,computers_accessories
instrumentos_musicais,musical_instruments
livros_interesse_geral,books_general_interest
livros_importados,books_imported
livros_tecnicos,technical_books
malas_acessorios,luggage_accessories
moveis_cozinha_jantar,kitchen_dining_laundry_garden_furniture
moveis_decoracao,furniture_decor
moveis_escritorio,office_furniture
moveis_quarto,furniture_bedroom
moveis_sala,furniture_living_room
music,music
papelaria,stationery
pcs,computers
perfumaria,perfumery
pet_shop,pet_shop
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_food_processors
relogios_presentes,watches_gifts
saude_beleza,health_beauty
seguranca_servicos,security_and_services
sinalizacao_e_seguranca,signaling_and_security
telefonia,telephony
telefonia_fixa,fixed_telephony
utilidades_domesticas,housewares
